name,release_date,genre,MPAA_rating,revenue,director
Dark Water,2005-07-08,Thriller/Suspense,PG-13,"$33,500,491 ",Walter Salles
Piglet's Big Movie,2003-03-21,Comedy,G,"$32,298,812 ",Francis Glebas
Kazaam,1996-07-17,Comedy,PG,"$36,009,655 ",Paul Michael Glaser
Déjà Vu,2006-11-22,Thriller/Suspense,PG-13,"$82,267,038 ",Tony Scott
Waking Sleeping Beauty,2010-03-26,Documentary,PG,"$86,264 ",
The Count of Monte Cristo,2002-01-25,Drama,PG-13,"$78,682,079 ",Kevin Reynolds
The Program,1993-09-24,Action,R,"$46,919,256 ",David S. Ward
When in Rome,2010-01-29,Romantic Comedy,PG-13,"$34,917,330 ",Mark Steven Johnson
Born Yesterday,1993-03-26,Romantic Comedy,PG,"$36,165,012 ",Luis Mandoki
The Alamo,2004-04-09,Western,PG-13,"$30,416,359 ",John Lee Hancock
Mad Love,1995-05-26,Drama,PG-13,"$29,934,306 ",Antonia Bird
Armageddon,1998-07-01,Adventure,PG-13,"$362,324,957 ",Michael Bay
Air Bud,1997-08-01,Comedy,PG,"$45,266,588 ",Charles Martin Smith
Fire Birds,1990-05-24,Action,PG-13,"$29,485,923 ",David Green
The Black Cauldron,1985-07-24,Adventure,,"$50,553,142 ",Ted Berman
Oz the Great and Powerful,2013-03-08,Adventure,PG,"$243,434,130 ",Sam Raimi
Two Much,1996-03-15,Romantic Comedy,PG-13,"$2,057,055 ",
102 Dalmatians,2000-11-22,Comedy,G,"$104,055,039 ",
The Pacifier,2005-03-04,Comedy,PG,"$148,619,029 ",Adam Shankman
Prom,2011-04-29,Comedy,PG,"$10,768,946 ",Joe Nussbaum
Un indien dans la ville,1996-03-22,Comedy,PG,"$1,963,937 ",
Annapolis,2006-01-27,Drama,PG-13,"$22,044,113 ",Justin Lin
The Country Bears,2002-07-26,Adventure,G,"$24,650,121 ",Peter Hastings
Planes: Fire and Rescue,2014-07-18,Adventure,PG,"$61,040,349 ",Roberts Gannaway
Tin Men,1987-03-06,Comedy,,"$54,787,202 ",Barry Levinson
Renaissance Man,1994-06-03,Comedy,PG-13,"$49,945,474 ",Penny Marshall
Playing God,1997-10-17,Thriller/Suspense,R,"$7,652,965 ",Andy Wilson
Phenomenon,1996-07-05,Drama,PG,"$199,559,799 ",Jon Turteltaub
Gnomeo and Juliet,2011-02-11,Comedy,G,"$106,270,797 ",
The Color of Money,1986-10-17,Drama,R,"$117,957,323 ",Martin Scorsese
Blackbeard's Ghost,1968-02-08,Comedy,,"$138,612,686 ",Robert Stevenson
Ernest Scared Stupid,1991-10-11,Comedy,PG,"$28,320,147 ",John R. Cherry III
The Emperor's New Groove,2000-12-15,Adventure,G,"$136,789,252 ",Mark Dindal
Double Take,2001-01-12,Action,PG-13,"$44,418,589 ",George Gallo
Rocket Man,1997-10-10,Comedy,PG,"$28,371,890 ",
Mulan,1998-06-19,Adventure,G,"$216,807,832 ",Barry Cook
Song of the South,1946-11-12,Adventure,G,"$1,078,510,579 ",Wilfred Jackson
The Black Hole,1979-12-21,,,"$120,377,374 ",Gary Nelson
Raising Helen,2004-05-28,Comedy,PG-13,"$50,886,144 ",Garry Marshall
A Gun in Betty Lou's Handbag,1992-08-21,,PG-13,"$7,295,423 ",Allan Moyle
The Air Up There,1994-01-07,Comedy,PG,"$42,940,186 ",Paul Michael Glaser
Roommates,1995-03-03,Comedy,PG,"$23,404,369 ",Peter Yates
Morning Light,2008-10-17,Documentary,PG,"$322,979 ",
Valiant,2005-08-19,Adventure,G,"$25,616,292 ",
Down and Out in Beverly Hills,1986-01-31,Comedy,R,"$141,183,693 ",Paul Mazursky
Tarzan,1999-06-16,Adventure,G,"$283,900,254 ",Chris Buck
The Royal Tenenbaums,2001-12-14,Black Comedy,R,"$76,758,193 ",
James and the Giant Peach,1996-04-12,Adventure,PG,"$55,159,783 ",Henry Selick
"Mystery, Alaska",1999-10-01,Comedy,R,"$14,755,189 ",Jay Roach
Last Dance,1996-05-03,Drama,R,"$11,171,714 ",Bruce Beresford
My Science Project,1985-08-09,Comedy,,"$9,736,051 ",Jonathan R. Betuel
Homeward Bound II: Lost in San Franc…,1996-03-08,Adventure,G,"$62,384,706 ",
The Muppets,2011-11-23,Comedy,PG,"$94,189,503 ",James Bobin
Turner & Hooch,1989-07-28,Comedy,PG,"$150,176,361 ",Roger Spottiswoode
Oceans,2010-04-22,Documentary,G,"$20,751,600 ",
It's Pat,1994-08-26,Comedy,,"$125,666 ",Adam Bernstein
The Finest Hours,2016-01-29,Thriller/Suspense,PG,"$27,569,558 ",Craig Gillespie
Shoot to Kill,1988-02-12,Action,,"$60,097,074 ",Roger Spottiswoode
Hannah Montana the Movie,2009-04-10,Drama,G,"$89,443,640 ",
First Kid,1996-08-30,Comedy,PG,"$50,465,108 ",David Mickey Evans
Consenting Adults,1992-10-16,Drama,R,"$43,859,823 ",Alan J. Pakula
Dan in Real Life,2007-10-20,Romantic Comedy,PG-13,"$58,350,234 ",Peter Hedges
Sorority Boys,2002-03-22,Comedy,R,"$14,797,862 ",Wallace Wolodarsky
Simon Birch,1998-09-11,Drama,PG,"$32,809,442 ",Mark Steven Johnson
In the Army Now,1994-08-12,Comedy,PG,"$59,673,787 ",Daniel Petrie Jr.
Bad Company,2002-06-07,Action,PG-13,"$43,756,218 ",Joel Schumacher
Wreck-It Ralph,2012-11-02,Adventure,PG,"$200,354,959 ",Rich Moore
Iron Man 3,2013-05-03,Action,PG-13,"$424,084,233 ",
Cinderella,1950-02-15,Drama,G,"$920,608,730 ",Wilfred Jackson
One Magic Christmas,1985-11-22,Drama,,"$31,415,432 ",Phillip Borsos
Beverly Hills Chihuahua,2008-10-03,Comedy,PG,"$110,932,022 ",Raja Gosnell
WALL-E,2008-06-27,Adventure,G,"$262,771,918 ",Andrew Stanton
Aladdin,1992-11-11,Comedy,G,"$441,969,178 ",Ron Clements
Casanova,2005-12-25,Drama,R,"$14,574,087 ",Lasse Hallström
Thor: The Dark World,2013-11-08,Adventure,PG-13,"$213,962,184 ",
Monkey Kingdom,2015-04-17,Documentary,G,"$16,432,322 ",Alastair Fothergill
Ernest Saves Christmas,1988-11-11,Comedy,PG,"$57,845,202 ",John R. Cherry III
Hannah Montana/Miley Cyrus: Best of B…,2008-02-01,Concert/Performance,G,"$76,646,993 ",
Saving Mr. Banks,2013-12-13,Drama,PG-13,"$86,249,969 ",
The Aristocats,1970-04-24,Musical,G,"$255,161,499 ",Wolfgang Reitherman
Calendar Girls,2003-12-19,Comedy,PG-13,"$42,379,650 ",
Unstrung Heroes,1995-09-15,Drama,PG,"$15,365,850 ",Diane Keaton
Three Fugitives,1989-01-27,Comedy,PG-13,"$85,757,817 ",Francis Veber
Tomorrowland,2015-05-22,Adventure,PG,"$93,436,322 ",Brad Bird
The Village,2004-07-30,Thriller/Suspense,PG-13,"$155,021,748 ",M. Night Shyamalan
"Alexander and the Terrible, Horrible,…",2014-10-10,Comedy,PG,"$69,055,550 ",Miguel Arteta
Arachnophobia,1990-07-18,Thriller/Suspense,PG-13,"$106,290,270 ",Frank Marshall
Lincoln,2012-11-09,Drama,PG-13,"$192,122,330 ",Steven Spielberg
The Horse Whisperer,1998-05-15,Drama,PG-13,"$135,497,531 ",
Muppets Most Wanted,2014-03-21,Comedy,PG,"$52,807,594 ",James Bobin
Fantasia 2000 (IMAX),2000-01-01,Musical,G,"$94,852,354 ",
Spaced Invaders,1990-04-27,Comedy,PG,"$29,964,452 ",Patrick Read Johnson
Just Visiting,2001-04-06,Comedy,PG-13,"$7,114,869 ",Jean-Marie Poiré
Holes,2003-04-18,Drama,PG,"$94,203,395 ",Andrew Davis
The Last Shot,2004-09-24,Comedy,R,"$629,502 ",Jeff Nathanson
The Jungle Book,1967-10-18,Musical,Not Rated,"$789,612,346 ",Wolfgang Reitherman
Meet the Robinsons,2007-03-30,Adventure,G,"$119,860,589 ",Stephen J. Anderson
Dead Poets Society,1989-06-02,Drama,PG,"$202,531,517 ",Peter Weir
Avengers: Age of Ultron,2015-05-01,Action,PG-13,"$459,005,868 ",
Man of the House,1995-03-03,Comedy,PG,"$77,573,459 ",James Orr
Bears,2014-04-18,Documentary,G,"$18,346,024 ",Alastair Fothergill
Passed Away,1992-04-24,,PG-13,"$8,187,848 ",Charlie Peters
ESPN's Ultimate X - The Movie,2002-05-10,Documentary,PG,"$6,089,874 ",
Atlantis: The Lost Empire,2001-06-08,Adventure,PG,"$125,188,122 ",Gary Trousdale
Ernest Goes to Camp,1987-05-22,Comedy,,"$50,686,462 ",John R. Cherry III
Teacher's Pet: The Movie,2004-01-16,Comedy,PG,"$8,812,764 ",
Spy Hard,1996-05-24,Comedy,PG-13,"$51,373,912 ",Rick Friedberg
Snow Dogs,2002-01-18,Comedy,PG,"$117,745,317 ",Brian Levant
Frankenweenie,2012-10-05,Comedy,PG,"$37,363,513 ",Tim Burton
Tuck Everlasting,2002-10-11,Drama,PG,"$27,789,959 ",Jay Russell
Hauru no ugoku shiro,2005-06-10,Adventure,PG,"$6,194,870 ",
Gedo Senki (Tales from Earthsea),2010-08-13,Adventure,PG-13,"$51,988 ",
Return to Oz,1985-06-21,Adventure,,"$25,215,934 ",Walter Murch
Disney's A Christmas Carol,2009-11-06,Drama,PG,"$154,927,105 ",Robert Zemeckis
Prefontaine,1997-01-24,Drama,PG-13,"$1,085,093 ",Steve James
Beaches,1988-12-21,Drama,PG-13,"$120,381,757 ",Garry Marshall
101 Dalmatians,1961-01-25,Comedy,G,"$1,362,870,985 ",Hamilton Luske
The Last Song,2010-03-31,Drama,PG,"$67,258,772 ",Julie Anne Robinson
Father Hood,1993-08-27,,PG-13,"$6,654,819 ",Darrell James Roodt
Encino Man,1992-05-22,Comedy,PG,"$81,369,058 ",Les Mayfield
Sweet Home Alabama,2002-09-27,Comedy,PG-13,"$184,521,151 ",Andy Tennant
Play it to the Bone,1999-12-24,Comedy,R,"$13,180,524 ",Ron Shelton
The Odd Life of Timothy Green,2012-08-15,Drama,PG,"$54,914,942 ",Peter Hedges
Honey I Blew Up the Kid,1992-07-17,Comedy,PG,"$119,162,518 ",Randal Kleiser
Hercules,1997-06-13,Adventure,G,"$182,029,412 ",Ron Clements
